,Lat,Lon,Alt
0,40.39,-128.1,0.0
1,40.39,-127.6,0.0
2,40.39,-127.1,0.0
3,40.39,-126.6,0.0
4,40.39,-126.1,0.0
5,40.39,-125.6,0.0
6,40.39,-125.1,0.0
7,40.39,-124.6,0.0
8,40.39,-124.1,461.0
9,40.39,-123.6,904.0
10,40.39,-123.1,1360.0
11,40.39,-122.6,241.0
12,40.39,-122.1,305.0
13,40.39,-121.6,1937.0
14,40.39,-121.1,1723.0
15,40.39,-120.6,1259.0
16,40.39,-120.1,1901.0
17,40.39,-119.6,2085.0
18,40.39,-119.1,1346.0
19,40.39,-118.6,1710.0
20,40.39,-118.1,1452.0
21,40.39,-117.6,0.0
22,40.39,-117.1,1427.0
23,40.39,-116.6,1489.0
24,40.39,-116.1,1618.0
25,40.39,-115.6,0.0
26,40.39,-115.1,1864.0
27,40.39,-114.6,1824.0
28,40.39,-114.1,1502.0
29,40.39,-113.6,1288.0
30,40.39,-113.1,1305.0
31,40.39,-112.6,2695.0
32,40.39,-112.1,1719.0
33,40.39,-111.6,2130.0
34,40.39,-111.1,2698.0
35,40.39,-110.6,2694.0
36,40.39,-110.1,1759.0
37,40.39,-109.6,1663.0
38,40.39,-109.1,0.0
39,40.39,-108.6,2063.0
40,40.39,-108.1,1993.0
41,40.39,-107.6,2246.0
42,40.39,-107.1,2130.0
43,40.39,-106.6,2742.0
44,40.39,-106.1,2793.0
45,40.39,-105.6,2730.0
46,40.39,-105.1,1522.0
47,40.39,-104.6,1411.0
48,40.39,-104.1,1368.0
49,40.39,-103.6,1329.0
50,40.39,-103.1,1349.0
51,40.39,-102.6,1211.0
52,40.39,-102.1,1098.0
53,40.39,-101.6,1044.0
54,40.39,-101.1,879.0
55,40.39,-100.6,815.0
56,40.39,-100.1,719.0
57,40.39,-99.6,699.0
58,40.39,-99.1,666.0
59,40.39,-98.6,597.0
60,40.39,-98.1,537.0
61,40.39,-97.6,483.0
62,40.39,-97.1,424.0
63,40.39,-96.6,421.0
64,40.39,-96.1,386.0
65,40.39,-95.6,271.0
66,40.39,-95.1,275.0
67,40.39,-94.6,321.0
68,40.39,-94.1,306.0
69,40.39,-93.6,252.0
70,40.39,-93.1,281.0
71,40.39,-92.6,285.0
72,40.39,-92.1,204.0
73,40.39,-91.6,158.0
74,40.39,-91.1,199.0
75,40.39,-90.6,194.0
76,40.39,-90.1,175.0
77,40.39,-89.6,166.0
78,40.39,-89.1,218.0
79,40.39,-88.6,241.0
80,40.39,-88.1,229.0
81,40.39,-87.6,215.0
82,40.39,-87.1,189.0
83,40.39,-86.6,236.0
84,40.39,-86.1,264.0
85,40.39,-85.6,269.0
86,40.39,-85.1,281.0
87,40.39,-84.6,290.0
88,40.39,-84.1,318.0
89,40.39,-83.6,340.0
90,40.39,-83.1,291.0
91,40.39,-82.6,405.0
92,40.39,-82.1,341.0
93,40.39,-81.6,380.0
94,40.39,-81.1,355.0
95,40.39,-80.6,210.0
96,40.39,-80.1,289.0
97,40.39,-79.6,390.0
98,40.39,-79.1,435.0
99,40.39,-78.6,744.0
100,40.39,-78.1,383.0
101,40.39,-77.6,208.0
102,40.39,-77.1,184.0
103,40.39,-76.6,150.0
104,40.39,-76.1,94.0
105,40.39,-75.6,134.0
106,40.39,-75.1,123.0
107,40.39,-74.6,68.0
108,40.39,-74.1,15.0
109,40.39,-73.6,0.0
110,40.39,-73.1,0.0
111,40.39,-72.6,0.0
112,40.39,-72.1,0.0
113,40.39,-71.6,0.0
114,40.39,-71.1,0.0
115,40.39,-70.6,0.0
116,40.39,-70.1,0.0
117,40.39,-69.6,0.0
118,40.39,-69.1,0.0
119,40.39,-68.6,0.0
120,40.39,-68.1,0.0
121,40.39,-67.6,0.0
122,40.39,-67.1,0.0
123,40.39,-66.6,0.0
124,39.89,-128.1,0.0
125,39.89,-127.6,0.0
126,39.89,-127.1,0.0
127,39.89,-126.6,0.0
128,39.89,-126.1,0.0
129,39.89,-125.6,0.0
130,39.89,-125.1,0.0
131,39.89,-124.6,0.0
132,39.89,-124.1,0.0
133,39.89,-123.6,910.0
134,39.89,-123.1,1088.0
135,39.89,-122.6,346.0
136,39.89,-122.1,59.0
137,39.89,-121.6,898.0
138,39.89,-121.1,1581.0
139,39.89,-120.6,1896.0
140,39.89,-120.1,1953.0
141,39.89,-119.6,1274.0
142,39.89,-119.1,1541.0
143,39.89,-118.6,1184.0
144,39.89,-118.1,1935.0
145,39.89,-117.6,1306.0
146,39.89,-117.1,1636.0
147,39.89,-116.6,1720.0
148,39.89,-116.1,2049.0
149,39.89,-115.6,2038.0
150,39.89,-115.1,0.0
151,39.89,-114.6,2071.0
152,39.89,-114.1,1803.0
153,39.89,-113.6,1314.0
154,39.89,-113.1,1622.0
155,39.89,-112.6,1619.0
156,39.89,-112.1,2008.0
157,39.89,-111.6,2124.0
158,39.89,-111.1,2664.0
159,39.89,-110.6,2446.0
160,39.89,-110.1,2058.0
161,39.89,-109.6,1654.0
162,39.89,-109.1,1889.0
163,39.89,-108.6,2532.0
164,39.89,-108.1,2286.0
165,39.89,-107.6,3084.0
166,39.89,-107.1,3067.0
167,39.89,-106.6,2285.0
168,39.89,-106.1,2678.0
169,39.89,-105.6,3068.0
170,39.89,-105.1,1639.0
171,39.89,-104.6,1605.0
172,39.89,-104.1,1493.0
173,39.89,-103.6,1394.0
174,39.89,-103.1,1400.0
175,39.89,-102.6,1259.0
176,39.89,-102.1,1085.0
177,39.89,-101.6,1047.0
178,39.89,-101.1,950.0
179,39.89,-100.6,835.0
180,39.89,-100.1,767.0
181,39.89,-99.6,675.0
182,39.89,-99.1,622.0
183,39.89,-98.6,589.0
184,39.89,-98.1,517.0
185,39.89,-97.6,488.0
186,39.89,-97.1,422.0
